District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Chaplin School District,Chaplin School District,Public School Districts,0240011,"Box 277, 304 Parish Hill",Chaplin,06235,860-455-9306,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,
Voluntown School District,Voluntown School District,Public School Districts,1470011,"Po Box 129, 195 Main St.",Voluntown,06384,860-376-9167,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,
Wethersfield School District,Charles Wright School,Public Schools,1591011,186 Nott St.,Wethersfield,06109-1720,860-571-8350,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"186 Nott St.
Wethersfield, CT 06109-1720
(41.716238, -72.668143)"
Norwalk School District,Norwalk School District,Public School Districts,1030011,"125 East Avenue, Box 6001",Norwalk,06852,203-854-4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"125 East Avenue, Box 6001
Norwalk, CT 06852
(41.113124, -73.407659)"
Vernon School District,Vernon School District,Public School Districts,1460011,"30 Park Street, Box 600",Vernon,06066,860-870-6000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"30 Park Street, Box 600
Vernon, CT 06066
(41.868562, -72.448146)"
Bridgeport School District,Classical Studies Academy,Public Schools,0152111,240 Linwood Ave.,Bridgeport,06604-2408,203-576-7188,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"240 Linwood Ave.
Bridgeport, CT 06604-2408
(41.178884, -73.209648)"
Windsor Locks School District,Windsor Locks School District,Public School Districts,1650011,58 South Elm Street,Windsor Locks,06096,860-292-5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"58 South Elm Street
Windsor Locks, CT 06096
(41.92125, -72.647887)"
Stamford School District,Strawberry Hill an ext. of Rogers International,Public Schools,1350711,200 Strawberry Hill Avenue,Stamford,06902,203-977-6600,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2016-07-01T00:00:00.000,1,"200 Strawberry Hill Avenue
Stamford, CT 06902
(41.067236, -73.533471)"
North Branford School District,Jerome Harrison School,Public Schools,0990411,335 Foxon Rd.,North Branford,06471-1102,203-484-1235,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"335 Foxon Rd.
North Branford, CT 06471-1102
(41.329203, -72.811048)"
Windham School District,Charles H. Barrows STEM Academy,Public Schools,1630411,141 Tuckie Road,North Windham,06256,860-465-2610,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2013-08-24T00:00:00.000,1,"141 Tuckie Road
North Windham, CT 06256
(41.719827, -72.173418)"
